Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40493707,A Very Short History of Portugal,A.H. de Oliveira Marques,"Marques, A.H. de Oliveira",João José Alves Dias,"=""""","=""9789896714208""",1,3.29,Tinta da China,Paperback,245,2018,,2022/03/03,2022/01/29,owned,owned (#20),read,,,,1,0
6483211,"El nombre del viento (Crónica del asesino de reyes, #1)",Patrick Rothfuss,"Rothfuss, Patrick",Gemma Rovira,"=""8401337208""","=""9788401337208""",5,4.52,Plaza & Janés,Paperback,872,2009,2007,2022/03/27,2022/01/08,owned,owned (#19),read,,,,1,0
59922709,Orgullo y Prejuicio,Jane Austen,"Austen, Jane",,"=""""","=""""",4,4.28,RBA,Hardcover,319,2020,1813,2022/05/07,2022/04/28,owned,owned (#18),read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,2022/05/15,2021/03/27,owned,owned (#17),read,,,,1,0
50076403,Gente normal,Sally Rooney,"Rooney, Sally",Inga Pellisa,"=""8439736312""","=""9788439736318""",5,3.82,Literatura Random House,Paperback,256,2019,2018,2022/05/16,2022/04/24,owned,owned (#16),read,,,,1,0
1009949,Los viajes de Gulliver,Jonathan Swift,"Swift, Jonathan",Paula Arenas,"=""8497647009""","=""9788497647007""",1,3.58,Edimat Libros,Paperback,376,2006,1726,2022/06/01,2022/05/17,owned,owned (#15),read,,,,1,0
802160,Flores en la tormenta,Laura Kinsale,"Kinsale, Laura",Ana Eiroa Guillén,"=""848346280X""","=""9788483462805""",4,4.08,DeBolsillo,Paperback,544,2007,1992,2022/06/16,2022/06/02,owned,owned (#14),read,,,,1,0
59781797,El gato que amaba los libros,Sōsuke Natsukawa,"Natsukawa, Sōsuke",Marta Morros Serret,"=""8425359937""","=""9788425359934""",3,3.73,Editorial Grijalbo,Paperback,256,2022,2017,2022/06/19,2022/05/18,owned,owned (#13),read,,,,1,0
55170929,Un amor,Sara Mesa,"Mesa, Sara",,"=""""","=""""",4,3.56,Anagrama,Kindle Edition,132,2020,2020,2022/06/20,2022/01/26,owned,owned (#12),read,,,,1,0
789326,"El color de la magia (Mundodisco, #1)",Terry Pratchett,"Pratchett, Terry",Cristina Macía,"=""849759679X""","=""9788497596794""",1,4.00,DeBolsillo,Paperback,288,2003,1983,2022/07/30,2022/07/12,owned,owned (#11),read,,,,1,0
56597885,"Beautiful World, Where Are You",Sally Rooney,"Rooney, Sally",,"=""0374602603""","=""9780374602604""",5,3.57,"Farrar, Straus and Giroux",Hardcover,356,2021,2021,,2022/08/06,owned,owned (#10),read,,,,1,0
55730815,Aquitania,Eva García Sáenz de Urturi,"Urturi, Eva García Sáenz de",,"=""8408235516""","=""9788408235514""",4,3.78,Planeta,Hardcover,416,2020,2020,2022/08/12,2022/08/07,owned,owned (#9),read,,,,1,0
28487182,"El problema de los tres cuerpos (Trilogía de los Tres Cuerpos, #1)",Liu Cixin,"Cixin, Liu",Javier Altayó,"=""8466659730""","=""9788466659734""",4,4.08,NOVA,Paperback,416,2016,2006,2022/08/17,2021/08/23,owned,owned (#8),read,,,,1,0
32827084,"El bosque oscuro (Trilogía de los Tres Cuerpos, #2)",Liu Cixin,"Cixin, Liu","Javier Altayó, Jianguo Feng","=""8466660925""","=""9788466660921""",5,4.41,NOVA,Paperback,576,2017,2008,2022/09/28,2022/08/17,owned,owned (#7),read,,,,1,0
58111092,La maldición del tranvía 015,P. Djèlí Clark,"Clark, P. Djèlí",Rebeca Cardeñoso,"=""""","=""9788412319668""",2,4.01,Duermevela Ediciones,Paperback,165,2021,2019,2022/09/24,2022/05/31,owned,owned (#6),read,,,,1,0
32827109,"El fin de la muerte (Trilogía de los Tres Cuerpos, #3)",Liu Cixin,"Cixin, Liu",Agustín Alepuz Morales,"=""8417347011""","=""9788417347017""",4,4.43,NOVA,Paperback,734,2018,2010,2022/10/20,2022/09/29,owned,owned (#5),read,,,,1,0
16793,Stardust,Neil Gaiman,"Gaiman, Neil",,"=""0061142026""","=""9780061142024""",3,4.10,Harper Perennial,Paperback,248,2006,1998,2022/11/11,2021/03/27,owned,owned (#4),read,,,,1,0
7183286,"El imperio final (Nacidos de la bruma, #1)",Brandon Sanderson,"Sanderson, Brandon",Rafael Marín Trechera,"=""8466631992""","=""9788466631990""",5,4.47,Ediciones B,Paperback,690,2007,2006,2022/11/17,2021/03/27,owned,owned (#3),read,,,,2,0
6568801,"El pozo de la ascensión (Nacidos de la bruma, #2)",Brandon Sanderson,"Sanderson, Brandon",Rafael Marín Trechera,"=""8466637834""","=""9788466637831""",5,4.38,Ediciones B,Paperback,800,2009,2007,2022/12/09,2021/03/27,owned,owned (#2),read,,,,2,0
7935023,"El héroe de las eras (Nacidos de la Bruma, #3)",Brandon Sanderson,"Sanderson, Brandon",Rafael Marín Trechera,"=""8466643826""","=""9788466643825""",5,4.52,Ediciones B,Hardcover,768,2010,2008,2022/12/31,2021/03/27,owned,owned (#1),read,,,,2,0
42201431,The Unhoneymooners,Christina Lauren,"Lauren, Christina",,"=""""","=""""",0,3.96,Gallery Books,Paperback,400,2019,2019,,2022/08/02,to-read,to-read (#65),to-read,,,,0,0
61767292,"Icebreaker (UCMH, #1)",Hannah  Grace,"Grace, Hannah",,"=""""","=""""",0,4.14,Pig & Bear Publishing,Kindle Edition,435,2022,2022,,2022/12/27,to-read,to-read (#64),to-read,,,,0,0
23947089,"The Lost Metal (Mistborn, #7)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765391198""","=""9780765391193""",0,4.52,Tor Books,Hardcover,507,2022,2022,,2022/12/20,to-read,to-read (#63),to-read,,,,0,0
63046790,Midnight Kisses,Jeanine Bennedict,"Bennedict, Jeanine",,"=""""","=""""",0,3.70,Kindle Unlimited,Paperback,,2022,,,2022/12/15,to-read,to-read (#62),to-read,,,,0,0
95525,El proceso,Franz Kafka,"Kafka, Franz",,"=""8495311313""","=""9788495311313""",0,3.96,Mestas Ediciones,Paperback,249,2003,1925,,2022/12/14,to-read,to-read (#61),to-read,,,,0,0
59482692,Last Time We Met,Emily Houghton,"Houghton, Emily",,"=""1529176700""","=""9781529176704""",0,3.58,Penguin,Paperback,416,2022,2022,,2022/12/07,to-read,to-read (#60),to-read,,,,0,0
60095070,So This Is Christmas (Christmas in Eldovia #3),Jenny Holiday,"Holiday, Jenny",,"=""0062952129""","=""9780062952127""",0,3.49,Avon US,Paperback,384,2023,2022,,2022/12/07,to-read,to-read (#59),to-read,,,,0,0
60092691,All I Want for Christmas,Maggie Knox,"Knox, Maggie",,"=""0735241120""","=""9780735241121""",0,3.25,Viking,Paperback,352,2022,2022,,2022/12/07,to-read,to-read (#58),to-read,,,,0,0
60060431,"Things We Never Got Over (Knockemout, #1)",Lucy Score,"Score, Lucy",,"=""""","=""""",3,4.27,That's What She Said Publishing,Kindle Edition,572,2022,2022,2022/12/07,2022/06/27,,,read,,,,1,0
56377192,The Last Chance Library,Freya Sampson,"Sampson, Freya",,"=""0593201388""","=""9780593201381""",3,3.76,Berkley Books,Paperback,336,2021,2021,2022/11/25,2022/11/20,,,read,,,,1,0
60590666,Arena Blanca ómnibus (Arena Blanca #1-3),Brandon Sanderson,"Sanderson, Brandon","Manu Viciano, Rik Hoskin, Fritz Casas, Julius Gopez","=""""","=""9788418037429""",3,3.71,Nova CF,Hardcover,496,2022,,2022/11/22,2022/11/18,,,read,,,,1,0
58283080,"Hook, Line, and Sinker (Bellinger Sisters, #2)",Tessa Bailey,"Bailey, Tessa",,"=""0063045699""","=""9780063045699""",3,4.02,Avon US,Paperback,353,2022,2022,,2022/10/25,,,read,,,,1,0
